Comment,Designator,Footprint,LCSC
ACC PWR,J6,PinHeader_2x02_P2.54mm_Vertical,
GND,J5,PinHeader_1x06_P2.54mm_Vertical,
I/O #2,J4,PinHeader_2x06_P2.54mm_Vertical,
I/O #1,J3,PinHeader_2x06_P2.54mm_Vertical,
