Designator,Mid X,Mid Y,Rotation,Layer
C1,73.533,39.497,90,top
C2,56.896,39.116,90,top
C3,40.386,39.243,90,top
R1,68.961,35.941,180,top
R2,52.451,35.941,180,top
R3,35.941,35.941,180,top
U1,68.961,41.021,270,top
U2,52.451,41.021,270,top
U3,35.941,41.021,270,top
