Comment,Designator,Footprint,LCSC
C,"C1,C2,C3,C4,C5,C6,C7,C8,C9",C_0603_1608Metric,C14663
R,R1,R_0603_1608Metric,C23179
WS2812B,"D1,D2,D3,D4,D5,D6,D7,D8,D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795
