Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,19.812,22.86,180,top
U1,MAX487EESA+T,SOIC-8_3.9x4.9mm_P1.27mm,21.59,26.67,180,top
