Reference, Quantity, Value, Footprint, Datasheet, LCSC, PN
D6 D5 D4 D3 D2 D1 ,6,1N4001W,Diode_SMD:D_SOD-123,https://datasheet.lcsc.com/szlcsc/Shandong-Jingdao-Microelectronics-1N4001W_C162732.pdf,C162732,
J1 J3 J4 J5 J6 J7 J8,7,PWR,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,VARIOUS,,VARIOUS
J2 ,1,INPUT,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,VARIOUS,,VARIOUS
Q6 Q5 Q4 Q3 Q2 Q1 ,6,IRFB3206PBF,Package_TO_SOT_THT:TO-220-3_Vertical,https://datasheet.lcsc.com/szlcsc/1806111728_Infineon-Technologies-IRFB3206PBF_C2642.pdf,C2642,IRFB3206PBF
R1 R2 R3 R6 R5 R4 ,6,10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-1206W4F1002T5E_C17902.pdf, C17902,1206W4F1002T5E
