"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"S2AL_Toggle_Silkscreen";1;"S2AL Toggle";;;
2;"G***";"OH_LOGO_ONLY_11x6mm";1;"OH_LOGO_ONLY_11x6mm";;;
3;"G***";"CC-BY-NC-SA-Small";1;"LOGO";;;
4;"REF**,REF**";"OH_Panel_6-32_PHS";2;"OH_Panel_Fastner_Keepout";;;
5;"D14,D13,D12,D11,D10,D9,D8,D7,D6,D5,D4,D3,D2";"LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm";13;"WS2813";;;
6;"R1";"R_0603_1608Metric";1;"R";;;
7;"J2,J1";"Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical";2;"Conn_01x04_Female";;;
8;"D1";"LED_D3.0mm";1;"LED";;;
9;"C1";"CP_Elec_8x10";1;"C_Polarized";;;
